Question,qns_options,quest_num,answer_num,question_load_timestamp,next_btn_timestamp,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,text_selected
<b>I often wish I had more time to spend figuring out what?s true and what?s false in life.,Highly disagree,133/150,2,1698244465259,1698244467184,\2\,1698244466017,1698244466017,758,758,1925,buq,qns-item-noham,133,582378,0.0-1.0-0.132,
<b>I?m more certain about my beliefs than I used to be.,Highly disagree,134/150,4,1698244467191,1698244469877,\4\,1698244469226,1698244469226,2035,2035,2686,buq,qns-item-noham,134,585070,0.0-1.0-0.133,
"<b>Whenever I find out new information, I update my views on politics accordingly.",Highly disagree,135/150,3,1698244469886,1698244471773,\3\,1698244471042,1698244471042,1156,1156,1887,buq,qns-item-noham,135,586966,0.0-1.0-0.134,
<b>People often tell falsehoods unintentionally.,Highly disagree,136/150,3,1698244471780,1698244475994,\3\,1698244475161,1698244475161,3381,3381,4214,buq,qns-item-noham,136,591187,0.0-1.0-0.135,
<b>Most people don?t know much about most things.,Highly disagree,137/150,2,1698244476001,1698244477555,\2\,1698244477011,1698244477011,1010,1010,1554,buq,qns-item-noham,137,592748,0.0-1.0-0.136,
"<b>If I find out something new about someone, I easily change my views about them.",Highly disagree,138/150,3,1698244477562,1698244479153,\3\,1698244478513,1698244478513,951,951,1591,buq,qns-item-noham,138,594346,0.0-1.0-0.137,
<b>Having true beliefs is difficult.,Highly disagree,139/150,4,1698244479160,1698244481656,\4\,1698244481026,1698244481026,1866,1866,2496,buq,qns-item-noham,139,596849,0.0-1.0-0.138,
<b>I don?t try new foods since I know I won?t like them.,Highly disagree,140/150,3,1698244481663,1698244484093,\3\,1698244483499,1698244483499,1836,1836,2430,buq,qns-item-noham,140,599286,0.0-1.0-0.139,
<b>It?s easy to figure out what?s true or false based on who?s saying it.,Highly disagree,141/150,4,1698244484103,1698244488602,\3\,1698244486985,1698244487782,2882,3679,4499,buq,qns-item-noham,141,603795,0.0-1.0-0.140,
<b>False things have seemed true to me many times.,Highly disagree,142/150,4,1698244488608,1698244490693,\4\,1698244490122,1698244490122,1514,1514,2085,buq,qns-item-noham,142,605886,0.0-1.0-0.141,
<b>It?s pretty easy to sort out what?s true and what?s false in life.,Highly disagree,143/150,3,1698244490699,1698244493066,\3\,1698244491596,1698244491596,897,897,2367,buq,qns-item-noham,143,608259,0.0-1.0-0.142,
<b>Knowing lots of statistics about something is usually important for understanding it.,Highly disagree,144/150,4,1698244493071,1698244495930,\4\,1698244495074,1698244495074,2003,2003,2859,buq,qns-item-noham,144,611124,0.0-1.0-0.143,
<b>Other people trick each other a lot.,Highly disagree,145/150,3,1698244495937,1698244499513,\3\,1698244498402,1698244498402,2465,2465,3576,buq,qns-item-noham,145,614707,0.0-1.0-0.144,
<b>I would need to learn a lot about a person for my opinion of them to be swayed.,Highly disagree,146/150,4,1698244499520,1698244503098,\4\,1698244502322,1698244502322,2802,2802,3578,buq,qns-item-noham,146,618291,0.0-1.0-0.145,
<b>People can?t usually trick me when it comes to topics I care about.,Highly disagree,147/150,3,1698244503104,1698244505747,\3\,1698244504362,1698244504362,1258,1258,2643,buq,qns-item-noham,147,620940,0.0-1.0-0.146,
<b>I do not often change my views on food.,Highly disagree,148/150,3,1698244505752,1698244509100,\3\,1698244508410,1698244508410,2658,2658,3348,buq,qns-item-noham,148,624293,0.0-1.0-0.147,
<b>Specific policies are often very important to me.,Highly disagree,149/150,4,1698244509107,1698244512978,\4\,1698244512434,1698244512434,3327,3327,3871,buq,qns-item-noham,149,628171,0.0-1.0-0.148,
<b>Most people are woefully under-informed.,Highly disagree,150/150,3,1698244512985,1698244520637,\3\,1698244519962,1698244519962,6977,6977,7652,buq,qns-item-noham,150,635830,0.0-1.0-0.149,
